date,product_sk_id,impression_count,page_view_count,add_to_cart_count,cart_abandonment_count,conversion_rate
2020-01-31,1,11890,734,21,15.0,0.82
2020-02-29,1,6974,526,10,7.0,0.57
2020-03-31,1,10815,854,27,20.0,0.82
2020-04-30,1,11742,876,30,20.0,1.14
2020-05-31,1,15568,1069,49,38.0,1.03
2020-06-30,1,15795,1218,41,28.0,1.07
2020-07-31,1,15532,1073,29,19.0,0.93
2020-08-31,1,17678,1160,43,30.0,1.12
2020-09-30,1,20295,1310,44,29.0,1.15
2020-10-31,1,14559,955,32,20.0,1.26
2020-11-30,1,8958,631,22,14.0,1.27
2020-12-31,1,13261,814,37,25.0,1.47
2021-01-31,1,11950,841,20,13.0,0.83
2021-02-28,1,14920,994,22,14.0,0.8
2021-03-31,1,13677,1000,41,27.0,1.4
2021-04-30,1,9511,675,21,16.0,0.74
2021-05-31,1,17820,819,28,20.0,0.98
2021-06-30,1,15894,1130,36,24.0,1.06
2021-07-31,1,22702,1370,49,33.0,1.17
2021-08-31,1,122425,1530,34,23.0,0.72
2021-09-30,1,12344,870,35,26.0,1.03
2021-10-31,1,13868,881,37,26.0,1.25
2021-11-30,1,9354,691,24,15.0,1.3
2021-12-31,1,9887,643,38,27.0,1.71
2022-01-31,1,65378,926,17,12.0,0.54
2022-02-28,1,54520,1000,32,24.0,0.8
2022-03-31,1,12501,819,18,11.0,0.85
2022-04-30,1,9234,662,17,11.0,0.91
2022-05-31,1,8571,640,23,17.0,0.94
2022-06-30,1,10462,591,17,12.0,0.85
2022-07-31,1,13797,974,27,19.0,0.82
2022-08-31,1,12079,759,22,15.0,0.92
2022-09-30,1,11142,692,17,11.0,0.87
2022-10-31,1,7147,501,18,13.0,1.0
2022-11-30,1,6670,459,11,8.0,0.65
2022-12-31,1,4238,341,9,6.0,0.88
2023-01-31,1,16739,1178,37,26.0,0.93
2023-02-28,1,13582,811,17,11.0,0.74
2023-03-31,1,15398,1115,42,29.0,1.17
2023-04-30,1,6117,486,10,7.0,0.62
2023-05-31,1,10357,661,19,13.0,0.91
2023-06-30,1,11790,781,30,22.0,1.02
2023-07-31,1,13890,1052,24,16.0,0.76
2023-08-31,1,13335,907,22,15.0,0.77
2023-09-30,1,14696,1012,32,21.0,1.09
2023-10-31,1,11033,713,22,14.0,1.12
2023-11-30,1,6553,442,21,17.0,0.9
2023-12-31,1,7000,452,24,18.0,1.33
2020-01-31,2,14035,1103,47,33.0,1.27
2020-02-29,2,10231,851,29,19.0,1.18
2020-03-31,2,11649,909,55,38.0,1.87
2020-04-30,2,7967,683,24,14.0,1.46
2020-05-31,2,7618,626,25,16.0,1.44
2020-06-30,2,8094,772,26,16.0,1.3
2020-07-31,2,15746,1221,57,36.0,1.72
2020-08-31,2,10137,950,35,22.0,1.37
2020-09-30,2,13059,1046,45,30.0,1.43
2020-10-31,2,8801,757,33,20.0,1.72
2020-11-30,2,6003,527,23,14.0,1.71
2020-12-31,2,8218,669,42,27.0,2.24
2021-01-31,2,14231,1237,50,30.0,1.62
2021-02-28,2,15078,1251,50,33.0,1.36
2021-03-31,2,13374,1218,51,32.0,1.56
2021-04-30,2,17467,1428,54,34.0,1.4
2021-05-31,2,17338,1330,57,36.0,1.58
2021-06-30,2,13200,941,46,29.0,1.81
2021-07-31,2,15991,1287,56,36.0,1.55
2021-08-31,2,22968,1538,57,35.0,1.43
2021-09-30,2,12961,1026,44,27.0,1.66
2021-10-31,2,13849,1210,48,29.0,1.57
2021-11-30,2,12236,1116,57,33.0,2.15
2021-12-31,2,9208,812,49,30.0,2.34
2022-01-31,2,7667,570,18,12.0,1.05
2022-02-28,2,9388,815,25,16.0,1.1
2022-03-31,2,11104,944,36,23.0,1.38
2022-04-30,2,7510,561,22,15.0,1.25
2022-05-31,2,13134,1193,43,27.0,1.34
2022-06-30,2,4781,449,18,13.0,1.11
2022-07-31,2,7090,649,19,12.0,1.08
2022-08-31,2,10132,739,25,16.0,1.22
2022-09-30,2,6059,550,15,10.0,0.91
2022-10-31,2,11456,821,34,23.0,1.34
2022-11-30,2,9116,706,44,31.0,1.84
2022-12-31,2,6155,559,34,23.0,1.97
2023-01-31,2,10774,1071,39,23.0,1.49
2023-02-28,2,17890,1503,49,31.0,1.2
2023-03-31,2,16635,1501,44,26.0,1.2
2023-04-30,2,11272,1043,43,26.0,1.63
2023-05-31,2,8187,753,35,22.0,1.73
2023-06-30,2,14999,1173,54,37.0,1.45
2023-07-31,2,12684,796,37,25.0,1.51
2023-08-31,2,15428,1146,54,36.0,1.57
2023-09-30,2,10932,865,48,34.0,1.62
2023-10-31,2,12883,1080,58,38.0,1.85
2023-11-30,2,16311,1036,61,39.0,2.12
2023-12-31,2,8140,788,43,24.0,2.41
2020-01-31,3,4559,396,11,7.0,1.01
2020-02-29,3,4088,351,6,4.0,0.57
2020-03-31,3,15381,353,8,6.0,0.57
2020-04-30,3,4692,436,17,12.0,1.15
2020-05-31,3,3733,385,20,14.0,1.56
2020-06-30,3,3074,292,8,5.0,1.03
2020-07-31,3,6149,601,26,16.0,1.66
2020-08-31,3,6725,663,27,17.0,1.51
2020-09-30,3,4374,453,23,15.0,1.77
2020-10-31,3,3472,333,18,14.0,1.2
2020-11-30,3,4369,457,28,19.0,1.97
2020-12-31,3,5008,440,36,24.0,2.73
2021-01-31,3,4998,481,29,22.0,1.46
2021-02-28,3,5814,588,18,11.0,1.19
2021-03-31,3,5294,571,24,15.0,1.58
2021-04-30,3,2579,304,10,7.0,0.99
2021-05-31,3,3185,306,10,6.0,1.31
2021-06-30,3,4755,494,17,10.0,1.42
2021-07-31,3,3945,427,19,14.0,1.17
2021-08-31,3,7092,684,21,13.0,1.17
2021-09-30,3,4574,509,21,14.0,1.38
2021-10-31,3,4647,453,22,15.0,1.55
2021-11-30,3,4193,424,13,7.0,1.42
2021-12-31,3,2705,263,12,8.0,1.52
2022-01-31,3,4094,416,13,9.0,0.96
2022-02-28,3,3611,309,7,5.0,0.65
2022-03-31,3,3714,338,19,14.0,1.48
2022-04-30,3,2022,221,3,2.0,0.45
2022-05-31,3,3035,320,7,5.0,0.62
2022-06-30,3,2825,307,13,10.0,0.98
2022-07-31,3,3082,277,4,3.0,0.36
2022-08-31,3,3361,272,6,5.0,0.37
2022-09-30,3,4547,482,13,8.0,1.04
2022-10-31,3,3315,380,17,14.0,0.79
2022-11-30,3,1875,202,15,13.0,0.99
2022-12-31,3,1652,153,9,8.0,0.65
2023-01-31,3,4236,448,13,8.0,1.12
2023-02-28,3,3020,300,3,2.0,0.33
2023-03-31,3,4644,391,16,10.0,1.53
2023-04-30,3,5589,568,22,14.0,1.41
2023-05-31,3,3214,363,19,13.0,1.65
2023-06-30,3,3407,301,9,6.0,1.0
2023-07-31,3,5200,459,19,12.0,1.53
2023-08-31,3,5775,553,19,12.0,1.27
2023-09-30,3,4426,494,17,12.0,1.01
2023-10-31,3,2920,277,16,13.0,1.08
2023-11-30,3,4203,388,27,19.0,2.06
2023-12-31,3,4266,396,23,14.0,2.27
2020-01-31,4,5289,424,16,12.0,0.94
2020-02-29,4,7126,563,27,20.0,1.24
2020-03-31,4,15503,425,11,8.0,0.71
2020-04-30,4,6867,537,17,12.0,0.93
2020-05-31,4,4681,466,21,14.0,1.5
2020-06-30,4,4268,393,14,12.0,0.51
2020-07-31,4,6287,586,17,12.0,0.85
2020-08-31,4,10078,752,21,13.0,1.06
