review_id,product_sk_id,customer_id,rating_stars,review_text,sentiment_score,return_reason_tag,review_date
3710,219,24702,3,Packaging was damaged.,0.0,,2020-01-10
737,280,46599,5,Best purchase ever.,1.0,,2020-01-10
4042,456,11500,5,Highly recommended.,1.0,,2020-01-10
3174,659,48192,4,Solid performance.,0.5,,2020-01-11
2788,1187,46761,4,"Nice, but expected slightly better quality.",0.5,,2020-01-13
1844,281,46165,1,Complete scam.,-1.0,Wrong Item,2020-01-15
2649,118,17121,1,Worst product I've bought.,-1.0,Quality Issue,2020-01-15
1551,1248,10538,5,Exceeded my expectations.,1.0,,2020-01-16
540,80,6163,4,"Good product, but delivery was slow.",0.5,,2020-01-16
437,283,22335,4,"Nice, but expected slightly better quality.",0.5,,2020-01-17
1134,780,35655,5,Absolutely love it!,1.0,,2020-01-17
3651,28,2389,5,Highly recommended.,1.0,,2020-01-18
1313,596,25633,4,"Good product, but delivery was slow.",0.5,,2020-01-18
1900,2,44222,3,You get what you pay for.,0.0,,2020-01-18
4041,297,30001,5,Absolutely love it!,1.0,,2020-01-18
2809,473,23793,5,Best purchase ever.,1.0,,2020-01-19
2936,481,34514,4,"Nice, but expected slightly better quality.",0.5,,2020-01-19
3340,917,10757,5,Highly recommended.,1.0,,2020-01-20
4867,117,25481,5,Will definitely buy again.,1.0,,2020-01-20
2603,333,44605,2,Disappointed.,-0.5,Late Delivery,2020-01-20
1677,1199,15007,4,Decent item for the price.,0.5,,2020-01-21
2869,24,15803,1,Arrived broken.,-1.0,Late Delivery,2020-01-21
303,1162,3526,5,Exceeded my expectations.,1.0,,2020-01-21
2905,393,14702,4,"Good product, but delivery was slow.",0.5,,2020-01-21
4932,385,15369,5,Best purchase ever.,1.0,,2020-01-21
1071,118,34544,3,Average quality.,0.0,,2020-01-21
2844,85,2806,4,Good value.,0.5,,2020-01-22
4629,984,22995,2,Poor quality material.,-0.5,Wrong Item,2020-01-23
14,74,31091,5,Five stars!,1.0,,2020-01-24
4449,587,32490,5,Works perfectly.,1.0,,2020-01-24
171,693,21033,3,Packaging was damaged.,0.0,,2020-01-24
172,1105,4530,5,"Fast shipping, product as described.",1.0,,2020-01-24
4083,1030,31890,5,Best purchase ever.,1.0,,2020-01-25
1917,345,8295,5,Works perfectly.,1.0,,2020-01-27
1409,301,23181,5,Five stars!,1.0,,2020-01-28
1321,292,1357,5,Will definitely buy again.,1.0,,2020-01-28
876,1148,14311,2,Poor quality material.,-0.5,Quality Issue,2020-01-28
1436,203,13617,3,Mixed feelings.,0.0,,2020-01-28
2870,561,7780,3,Average quality.,0.0,,2020-01-29
378,1153,20947,4,Solid performance.,0.5,,2020-01-29
140,1208,13771,1,Terrible experience.,-1.0,Wrong Item,2020-01-29
230,146,22922,5,Works perfectly.,1.0,,2020-01-29
2684,574,1350,5,Excellent quality.,1.0,,2020-01-29
2857,911,27707,5,Will definitely buy again.,1.0,,2020-01-29
570,1250,10985,4,Good value.,0.5,,2020-01-30
3770,1043,37408,5,Excellent quality.,1.0,,2020-01-30
2107,48,48827,5,Excellent quality.,1.0,,2020-01-30
4112,674,22082,1,Worst product I've bought.,-1.0,Quality Issue,2020-01-31
1801,724,45504,3,Mixed feelings.,0.0,,2020-02-01
3074,82,12987,5,Will definitely buy again.,1.0,,2020-02-01
6,1004,2690,5,Exceeded my expectations.,1.0,,2020-02-01
4273,92,19430,4,"Nice, but expected slightly better quality.",0.5,,2020-02-01
452,717,3829,1,Customer service was unhelpful.,-1.0,Wrong Item,2020-02-01
1433,761,42378,5,Absolutely love it!,1.0,,2020-02-01
449,114,30010,4,"Nice, but expected slightly better quality.",0.5,,2020-02-02
173,446,27335,3,"Does the job, but nothing special.",0.0,,2020-02-02
2324,904,28484,4,Solid performance.,0.5,,2020-02-02
408,709,33341,5,Will definitely buy again.,1.0,,2020-02-02
4796,706,38466,4,Satisfied with the purchase.,0.5,,2020-02-02
143,143,49755,5,Works perfectly.,1.0,,2020-02-03
797,672,30010,1,Arrived broken.,-1.0,Damaged,2020-02-03
102,774,3081,3,Mixed feelings.,0.0,,2020-02-03
2995,712,35613,5,Will definitely buy again.,1.0,,2020-02-04
850,680,23769,5,Absolutely love it!,1.0,,2020-02-04
3783,204,31017,5,Best purchase ever.,1.0,,2020-02-04
2640,49,14376,5,Will definitely buy again.,1.0,,2020-02-04
1107,479,49245,5,Five stars!,1.0,,2020-02-04
776,979,14592,4,"Pretty good, does the job.",0.5,,2020-02-05
646,241,14721,5,Great value for money.,1.0,,2020-02-05
958,1211,40212,4,Decent item for the price.,0.5,,2020-02-05
2793,960,26401,4,"Good product, but delivery was slow.",0.5,,2020-02-05
3634,274,4969,5,Great value for money.,1.0,,2020-02-06
1638,686,13217,4,Decent item for the price.,0.5,,2020-02-06
105,1001,30919,5,"Fast shipping, product as described.",1.0,,2020-02-06
3793,358,14822,4,Decent item for the price.,0.5,,2020-02-06
3261,150,32864,4,"Good product, but delivery was slow.",0.5,,2020-02-07
560,846,40776,2,Poor quality material.,-0.5,Late Delivery,2020-02-07
1205,908,10382,5,Excellent quality.,1.0,,2020-02-07
1966,196,33585,5,Excellent quality.,1.0,,2020-02-07
1135,666,5161,5,Absolutely love it!,1.0,,2020-02-07
1077,43,22769,3,"It's okay, not great.",0.0,,2020-02-07
401,950,10382,5,Great value for money.,1.0,,2020-02-08
2103,917,17801,5,Exceeded my expectations.,1.0,,2020-02-08
2171,450,9119,1,Waste of money.,-1.0,Late Delivery,2020-02-08
2710,967,42926,5,Absolutely love it!,1.0,,2020-02-08
199,267,12260,5,Highly recommended.,1.0,,2020-02-09
3442,161,6574,4,"Good product, but delivery was slow.",0.5,,2020-02-09
214,1151,11723,1,Customer service was unhelpful.,-1.0,Late Delivery,2020-02-09
4023,7,3127,5,Highly recommended.,1.0,,2020-02-09
1431,760,14970,5,Works perfectly.,1.0,,2020-02-09
4687,851,34316,4,"Nice, but expected slightly better quality.",0.5,,2020-02-10
2371,78,24627,4,Good value.,0.5,,2020-02-10
3778,1028,36032,1,Customer service was unhelpful.,-1.0,Late Delivery,2020-02-10
4305,87,21724,5,Works perfectly.,1.0,,2020-02-10
2730,1205,14475,5,Excellent quality.,1.0,,2020-02-10
4229,882,42926,1,Terrible experience.,-1.0,Not as Described,2020-02-11
2827,1148,10160,5,Absolutely love it!,1.0,,2020-02-11
237,1070,2643,5,"Fast shipping, product as described.",1.0,,2020-02-11
1687,189,23733,4,Good value.,0.5,,2020-02-11
821,514,34249,5,Highly recommended.,1.0,,2020-02-11
398,507,1339,1,Do not buy!,-1.0,Quality Issue,2020-02-12
2391,1194,33353,5,Absolutely love it!,1.0,,2020-02-13
1904,478,38473,4,"Nice, but expected slightly better quality.",0.5,,2020-02-13
1707,489,40210,3,Mixed feelings.,0.0,,2020-02-13
246,893,21217,4,"Pretty good, does the job.",0.5,,2020-02-13
2369,793,10105,3,Average quality.,0.0,,2020-02-14
4557,206,29444,4,"Pretty good, does the job.",0.5,,2020-02-14
4817,1147,28964,1,Complete scam.,-1.0,Wrong Item,2020-02-14
4160,152,44751,5,Works perfectly.,1.0,,2020-02-15
3815,152,5161,5,Best purchase ever.,1.0,,2020-02-15
1566,781,4637,5,Excellent quality.,1.0,,2020-02-15
412,768,8205,4,"Pretty good, does the job.",0.5,,2020-02-15
2817,295,17942,5,Great value for money.,1.0,,2020-02-16
3869,1163,45349,4,"Pretty good, does the job.",0.5,,2020-02-16
3543,938,1980,5,Five stars!,1.0,,2020-02-16
3670,1025,32328,5,Best purchase ever.,1.0,,2020-02-16
450,1117,33997,1,Do not buy!,-1.0,Not as Described,2020-02-16
954,1210,4043,3,Packaging was damaged.,0.0,,2020-02-16
4397,630,38457,5,Five stars!,1.0,,2020-02-16
2022,806,39459,1,Do not buy!,-1.0,Not as Described,2020-02-17
3254,435,30163,5,Works perfectly.,1.0,,2020-02-17
889,170,47222,1,Customer service was unhelpful.,-1.0,Quality Issue,2020-02-17
3325,66,49377,5,Great value for money.,1.0,,2020-02-17
83,729,7141,5,Excellent quality.,1.0,,2020-02-17
4487,962,17048,1,Complete scam.,-1.0,Wrong Item,2020-02-18
1973,1210,2527,5,Great value for money.,1.0,,2020-02-18
1649,767,2990,5,Absolutely love it!,1.0,,2020-02-19
2920,703,41776,5,Five stars!,1.0,,2020-02-19
2310,950,4043,4,Decent item for the price.,0.5,,2020-02-19
13,366,45221,5,Absolutely love it!,1.0,,2020-02-20
