product_sk_id,sku_code,product_name_en,product_name_bn,brand_id,category_id,barcode_ean,uom,pack_size_value,pack_size_unit,mrp_bdt,vat_percentage,shelf_life_days,storage_type,is_perishable,is_private_label,launch_date,product_status
1,TEA-0001,Dano Tea/Coffee Process Jar,বাংলা পণ্য - 1,10,13,0323197670253,Jar,1,Unit,920,15,526,Ambient,FALSE,FALSE,4/22/2021,Active
2,DIA-0002,Lifebuoy Diapers How Jumbo Pack,বাংলা পণ্য - 2,17,5,1.68445E+12,Jumbo Pack,1,Unit,2723,15,666,Ambient,FALSE,FALSE,7/31/2022,Active
3,LEN-0003,Pran Lentils Weight 1kg Pack,বাংলা পণ্য - 3,17,4,2.44183E+12,1kg Pack,1,Unit,304,15,352,Ambient,FALSE,FALSE,9/9/2022,Active
4,WIP-0004,Rin Wipes Care Pack,বাংলা পণ্য - 4,7,7,4.4793E+12,Pack,1,Unit,487,15,471,Ambient,FALSE,FALSE,4/3/2022,Active
5,CLE-0005,Ispahani Cleaning Where Combo,বাংলা পণ্য - 5,3,12,9.40095E+12,Combo,1,Unit,527,15,173,Ambient,FALSE,FALSE,10/2/2023,Active
6,BAB-0006,Rin Baby Food Stuff Tin,বাংলা পণ্য - 6,11,6,9.24888E+12,Tin,1,Unit,1228,15,193,Ambient,FALSE,FALSE,10/31/2022,Active
7,SHA-0007,Lifebuoy Shampoo Pull Bottle,বাংলা পণ্য - 7,12,8,7.64974E+12,Bottle,1,Unit,594,15,518,Ambient,FALSE,FALSE,8/23/2023,Active
8,LEN-0008,Harpic Lentils Choose 1kg Pack,বাংলা পণ্য - 8,7,4,5.19187E+12,1kg Pack,1,Unit,202,15,719,Ambient,FALSE,FALSE,4/21/2021,Active
9,TEA-0009,Ispahani Tea/Coffee Letter Jar,বাংলা পণ্য - 9,7,13,6.76661E+12,Jar,1,Unit,826,15,241,Ambient,FALSE,FALSE,10/20/2023,Active
10,SKI-0010,BGB Skin Care His Jar,বাংলা পণ্য - 10,21,9,2.6426E+12,Jar,1,Unit,1362,15,250,Ambient,FALSE,TRUE,2/9/2022,Active
11,TEA-0011,Fresh Tea/Coffee Through Jar,বাংলা পণ্য - 11,17,13,0856759105639,Jar,1,Unit,1056,15,378,Ambient,FALSE,FALSE,5/22/2023,Active
12,CLE-0012,Ispahani Cleaning Vote Combo,বাংলা পণ্য - 12,7,12,9.67045E+12,Combo,1,Unit,421,15,110,Ambient,FALSE,FALSE,7/6/2021,Active
13,JUI-0013,Bashundhara Juices Support 1L Carton,বাংলা পণ্য - 13,17,14,7.7025E+12,1L Carton,1,Unit,183,15,257,Ambient,TRUE,FALSE,3/14/2021,Active
14,OIL-0014,Fresh Oil Also 5L Jar,বাংলা পণ্য - 14,15,1,9.98575E+12,5L Jar,1,Unit,980,15,598,Ambient,TRUE,FALSE,11/9/2023,Active
15,SKI-0015,Pran Skin Care Example Jar,বাংলা পণ্য - 15,6,9,8.45558E+12,Jar,1,Unit,929,15,590,Ambient,FALSE,FALSE,10/12/2020,Active
16,SOA-0016,BGB Soap About Bundle Pack,বাংলা পণ্য - 16,21,10,5.09531E+12,Bundle Pack,1,Unit,433,15,336,Ambient,FALSE,TRUE,8/28/2022,Active
17,SPI-0017,Rupchanda Spices Seat 500g Jar,বাংলা পণ্য - 17,17,3,2.76959E+12,500g Jar,1,Unit,663,15,137,Ambient,FALSE,FALSE,7/31/2023,Active
18,BAB-0018,Lifebuoy Baby Food Writer Tin,বাংলা পণ্য - 18,14,6,2.66037E+12,Tin,1,Unit,1615,15,485,Ambient,FALSE,FALSE,11/7/2021,Active
19,LEN-0019,Pran Lentils Responsibility 1kg Pack,বাংলা পণ্য - 19,16,4,4.48294E+12,1kg Pack,1,Unit,229,15,669,Ambient,FALSE,FALSE,7/14/2023,Active
20,TEA-0020,Parachute Tea/Coffee Information Jar,বাংলা পণ্য - 20,5,13,1.65378E+12,Jar,1,Unit,638,15,207,Ambient,FALSE,FALSE,6/13/2020,Active
21,WIP-0021,BGB Sweets Wipes Kitchen Pack,বাংলা পণ্য - 21,21,7,4.91916E+12,Pack,1,Unit,198,15,352,Ambient,FALSE,TRUE,6/1/2023,Active
22,JUI-0022,Rin Juices Consumer 1L Carton,বাংলা পণ্য - 22,3,14,5.92502E+12,1L Carton,1,Unit,349,15,481,Ambient,TRUE,FALSE,1/10/2022,Active
23,CLE-0023,Nescafe Cleaning Next Combo,বাংলা পণ্য - 23,10,12,0798230700813,Combo,1,Unit,656,15,280,Ambient,FALSE,FALSE,11/1/2020,Active
24,SPI-0024,Marks Spices Dinner 500g Jar,বাংলা পণ্য - 24,2,3,4.90237E+12,500g Jar,1,Unit,263,15,712,Ambient,FALSE,FALSE,3/23/2023,Active
25,JUI-0025,Bashundhara Juices State 1L Carton,বাংলা পণ্য - 25,12,14,4.9418E+12,1L Carton,1,Unit,275,15,187,Ambient,TRUE,FALSE,7/2/2020,Active
26,SPI-0026,Bashundhara Spices Buy 500g Jar,বাংলা পণ্য - 26,11,3,2.9464E+12,500g Jar,1,Unit,640,15,502,Ambient,FALSE,FALSE,12/18/2021,Active
