price_change_id,product_sk_id,valid_from,valid_to,old_price_bdt,new_price_bdt,change_reason
1,1,2020-01-01,2021-12-31,0.0,782.0,2020 Launch Price
2,1,2022-01-01,2023-12-31,782.0,920.0,Global Inflation Adjustment
3,2,2020-01-01,2021-12-31,0.0,2315.0,2020 Launch Price
4,2,2022-01-01,2023-12-31,2315.0,2723.0,Global Inflation Adjustment
5,3,2020-01-01,2021-12-31,0.0,258.0,2020 Launch Price
6,3,2022-01-01,2023-12-31,258.0,304.0,Global Inflation Adjustment
7,4,2020-01-01,2021-12-31,0.0,414.0,2020 Launch Price
8,4,2022-01-01,2023-12-31,414.0,487.0,Global Inflation Adjustment
9,5,2020-01-01,2021-12-31,0.0,448.0,2020 Launch Price
10,5,2022-01-01,2023-12-31,448.0,527.0,Global Inflation Adjustment
11,6,2020-01-01,2021-12-31,0.0,1044.0,2020 Launch Price
12,6,2022-01-01,2023-12-31,1044.0,1228.0,Global Inflation Adjustment
13,7,2020-01-01,2021-12-31,0.0,505.0,2020 Launch Price
14,7,2022-01-01,2023-12-31,505.0,594.0,Global Inflation Adjustment
15,8,2020-01-01,2021-12-31,0.0,172.0,2020 Launch Price
16,8,2022-01-01,2023-12-31,172.0,202.0,Global Inflation Adjustment
17,9,2020-01-01,2021-12-31,0.0,702.0,2020 Launch Price
18,9,2022-01-01,2023-12-31,702.0,826.0,Global Inflation Adjustment
19,10,2020-01-01,2021-12-31,0.0,1158.0,2020 Launch Price
20,10,2022-01-01,2023-12-31,1158.0,1362.0,Global Inflation Adjustment
21,11,2020-01-01,2021-12-31,0.0,898.0,2020 Launch Price
22,11,2022-01-01,2023-12-31,898.0,1056.0,Global Inflation Adjustment
23,12,2020-01-01,2021-12-31,0.0,358.0,2020 Launch Price
24,12,2022-01-01,2023-12-31,358.0,421.0,Global Inflation Adjustment
25,13,2020-01-01,2021-12-31,0.0,156.0,2020 Launch Price
26,13,2022-01-01,2023-12-31,156.0,183.0,Global Inflation Adjustment
27,14,2020-01-01,2021-12-31,0.0,833.0,2020 Launch Price
28,14,2022-01-01,2023-12-31,833.0,980.0,Global Inflation Adjustment
29,15,2020-01-01,2021-12-31,0.0,790.0,2020 Launch Price
30,15,2022-01-01,2023-12-31,790.0,929.0,Global Inflation Adjustment
31,16,2020-01-01,2021-12-31,0.0,368.0,2020 Launch Price
32,16,2022-01-01,2023-12-31,368.0,433.0,Global Inflation Adjustment
33,17,2020-01-01,2021-12-31,0.0,564.0,2020 Launch Price
34,17,2022-01-01,2023-12-31,564.0,663.0,Global Inflation Adjustment
35,18,2020-01-01,2021-12-31,0.0,1373.0,2020 Launch Price
36,18,2022-01-01,2023-12-31,1373.0,1615.0,Global Inflation Adjustment
37,19,2020-01-01,2021-12-31,0.0,195.0,2020 Launch Price
38,19,2022-01-01,2023-12-31,195.0,229.0,Global Inflation Adjustment
39,20,2020-01-01,2021-12-31,0.0,542.0,2020 Launch Price
40,20,2022-01-01,2023-12-31,542.0,638.0,Global Inflation Adjustment
41,21,2020-01-01,2021-12-31,0.0,168.0,2020 Launch Price
42,21,2022-01-01,2023-12-31,168.0,198.0,Global Inflation Adjustment
43,22,2020-01-01,2021-12-31,0.0,297.0,2020 Launch Price
44,22,2022-01-01,2023-12-31,297.0,349.0,Global Inflation Adjustment
45,23,2020-01-01,2021-12-31,0.0,558.0,2020 Launch Price
46,23,2022-01-01,2023-12-31,558.0,656.0,Global Inflation Adjustment
47,24,2020-01-01,2021-12-31,0.0,224.0,2020 Launch Price
48,24,2022-01-01,2023-12-31,224.0,263.0,Global Inflation Adjustment
49,25,2020-01-01,2021-12-31,0.0,234.0,2020 Launch Price
50,25,2022-01-01,2023-12-31,234.0,275.0,Global Inflation Adjustment
51,26,2020-01-01,2021-12-31,0.0,544.0,2020 Launch Price
52,26,2022-01-01,2023-12-31,544.0,640.0,Global Inflation Adjustment
53,27,2020-01-01,2021-12-31,0.0,2105.0,2020 Launch Price
54,27,2022-01-01,2023-12-31,2105.0,2476.0,Global Inflation Adjustment
55,28,2020-01-01,2021-12-31,0.0,885.0,2020 Launch Price
56,28,2022-01-01,2023-12-31,885.0,1041.0,Global Inflation Adjustment
57,29,2020-01-01,2021-12-31,0.0,1256.0,2020 Launch Price
58,29,2022-01-01,2023-12-31,1256.0,1478.0,Global Inflation Adjustment
59,30,2020-01-01,2021-12-31,0.0,699.0,2020 Launch Price
60,30,2022-01-01,2023-12-31,699.0,822.0,Global Inflation Adjustment
61,31,2020-01-01,2021-12-31,0.0,163.0,2020 Launch Price
62,31,2022-01-01,2023-12-31,163.0,192.0,Global Inflation Adjustment
63,32,2020-01-01,2021-12-31,0.0,1526.0,2020 Launch Price
64,32,2022-01-01,2023-12-31,1526.0,1795.0,Global Inflation Adjustment
65,33,2020-01-01,2021-12-31,0.0,3409.0,2020 Launch Price
66,33,2022-01-01,2023-12-31,3409.0,4011.0,Global Inflation Adjustment
67,34,2020-01-01,2021-12-31,0.0,1193.0,2020 Launch Price
68,34,2022-01-01,2023-12-31,1193.0,1404.0,Global Inflation Adjustment
69,35,2020-01-01,2021-12-31,0.0,1017.0,2020 Launch Price
70,35,2022-01-01,2023-12-31,1017.0,1197.0,Global Inflation Adjustment
71,36,2020-01-01,2021-12-31,0.0,921.0,2020 Launch Price
72,36,2022-01-01,2023-12-31,921.0,1083.0,Global Inflation Adjustment
73,37,2020-01-01,2021-12-31,0.0,694.0,2020 Launch Price
74,37,2022-01-01,2023-12-31,694.0,817.0,Global Inflation Adjustment
75,38,2020-01-01,2021-12-31,0.0,153.0,2020 Launch Price
76,38,2022-01-01,2023-12-31,153.0,180.0,Global Inflation Adjustment
77,39,2020-01-01,2021-12-31,0.0,175.0,2020 Launch Price
78,39,2022-01-01,2023-12-31,175.0,206.0,Global Inflation Adjustment
79,40,2020-01-01,2021-12-31,0.0,466.0,2020 Launch Price
80,40,2022-01-01,2023-12-31,466.0,548.0,Global Inflation Adjustment
81,41,2020-01-01,2021-12-31,0.0,695.0,2020 Launch Price
82,41,2022-01-01,2023-12-31,695.0,818.0,Global Inflation Adjustment
83,42,2020-01-01,2021-12-31,0.0,1184.0,2020 Launch Price
84,42,2022-01-01,2023-12-31,1184.0,1393.0,Global Inflation Adjustment
85,43,2020-01-01,2021-12-31,0.0,1195.0,2020 Launch Price
86,43,2022-01-01,2023-12-31,1195.0,1406.0,Global Inflation Adjustment
87,44,2020-01-01,2021-12-31,0.0,256.0,2020 Launch Price
88,44,2022-01-01,2023-12-31,256.0,301.0,Global Inflation Adjustment
89,45,2020-01-01,2021-12-31,0.0,656.0,2020 Launch Price
90,45,2022-01-01,2023-12-31,656.0,772.0,Global Inflation Adjustment
91,46,2020-01-01,2021-12-31,0.0,987.0,2020 Launch Price
92,46,2022-01-01,2023-12-31,987.0,1161.0,Global Inflation Adjustment
93,47,2020-01-01,2021-12-31,0.0,371.0,2020 Launch Price
94,47,2022-01-01,2023-12-31,371.0,436.0,Global Inflation Adjustment
95,48,2020-01-01,2021-12-31,0.0,1941.0,2020 Launch Price
96,48,2022-01-01,2023-12-31,1941.0,2283.0,Global Inflation Adjustment
97,49,2020-01-01,2021-12-31,0.0,473.0,2020 Launch Price
98,49,2022-01-01,2023-12-31,473.0,556.0,Global Inflation Adjustment
99,50,2020-01-01,2021-12-31,0.0,256.0,2020 Launch Price
100,50,2022-01-01,2023-12-31,256.0,301.0,Global Inflation Adjustment
101,51,2020-01-01,2021-12-31,0.0,111.0,2020 Launch Price
102,51,2022-01-01,2023-12-31,111.0,131.0,Global Inflation Adjustment
103,52,2020-01-01,2021-12-31,0.0,1997.0,2020 Launch Price
104,52,2022-01-01,2023-12-31,1997.0,2349.0,Global Inflation Adjustment
105,53,2020-01-01,2021-12-31,0.0,552.0,2020 Launch Price
106,53,2022-01-01,2023-12-31,552.0,650.0,Global Inflation Adjustment
107,54,2020-01-01,2021-12-31,0.0,481.0,2020 Launch Price
108,54,2022-01-01,2023-12-31,481.0,566.0,Global Inflation Adjustment
109,55,2020-01-01,2021-12-31,0.0,994.0,2020 Launch Price
110,55,2022-01-01,2023-12-31,994.0,1169.0,Global Inflation Adjustment
111,56,2020-01-01,2021-12-31,0.0,781.0,2020 Launch Price
112,56,2022-01-01,2023-12-31,781.0,919.0,Global Inflation Adjustment
113,57,2020-01-01,2021-12-31,0.0,184.0,2020 Launch Price
114,57,2022-01-01,2023-12-31,184.0,216.0,Global Inflation Adjustment
115,58,2020-01-01,2021-12-31,0.0,926.0,2020 Launch Price
116,58,2022-01-01,2023-12-31,926.0,1090.0,Global Inflation Adjustment
117,59,2020-01-01,2021-12-31,0.0,1017.0,2020 Launch Price
118,59,2022-01-01,2023-12-31,1017.0,1196.0,Global Inflation Adjustment
119,60,2020-01-01,2021-12-31,0.0,227.0,2020 Launch Price
120,60,2022-01-01,2023-12-31,227.0,267.0,Global Inflation Adjustment
121,61,2020-01-01,2021-12-31,0.0,772.0,2020 Launch Price
122,61,2022-01-01,2023-12-31,772.0,908.0,Global Inflation Adjustment
123,62,2020-01-01,2021-12-31,0.0,1570.0,2020 Launch Price
124,62,2022-01-01,2023-12-31,1570.0,1847.0,Global Inflation Adjustment
125,63,2020-01-01,2021-12-31,0.0,972.0,2020 Launch Price
126,63,2022-01-01,2023-12-31,972.0,1143.0,Global Inflation Adjustment
127,64,2020-01-01,2021-12-31,0.0,387.0,2020 Launch Price
128,64,2022-01-01,2023-12-31,387.0,455.0,Global Inflation Adjustment
129,65,2020-01-01,2021-12-31,0.0,1902.0,2020 Launch Price
130,65,2022-01-01,2023-12-31,1902.0,2238.0,Global Inflation Adjustment
131,66,2020-01-01,2021-12-31,0.0,806.0,2020 Launch Price
132,66,2022-01-01,2023-12-31,806.0,948.0,Global Inflation Adjustment
133,67,2020-01-01,2021-12-31,0.0,411.0,2020 Launch Price
134,67,2022-01-01,2023-12-31,411.0,484.0,Global Inflation Adjustment
135,68,2020-01-01,2021-12-31,0.0,627.0,2020 Launch Price
136,68,2022-01-01,2023-12-31,627.0,738.0,Global Inflation Adjustment
137,69,2020-01-01,2021-12-31,0.0,1231.0,2020 Launch Price
138,69,2022-01-01,2023-12-31,1231.0,1448.0,Global Inflation Adjustment
139,70,2020-01-01,2021-12-31,0.0,1464.0,2020 Launch Price
140,70,2022-01-01,2023-12-31,1464.0,1722.0,Global Inflation Adjustment
141,71,2020-01-01,2021-12-31,0.0,417.0,2020 Launch Price
142,71,2022-01-01,2023-12-31,417.0,491.0,Global Inflation Adjustment
143,72,2020-01-01,2021-12-31,0.0,849.0,2020 Launch Price
144,72,2022-01-01,2023-12-31,849.0,999.0,Global Inflation Adjustment
145,73,2020-01-01,2021-12-31,0.0,1278.0,2020 Launch Price
146,73,2022-01-01,2023-12-31,1278.0,1504.0,Global Inflation Adjustment
147,74,2020-01-01,2021-12-31,0.0,454.0,2020 Launch Price
148,74,2022-01-01,2023-12-31,454.0,534.0,Global Inflation Adjustment
149,75,2020-01-01,2021-12-31,0.0,3008.0,2020 Launch Price
150,75,2022-01-01,2023-12-31,3008.0,3539.0,Global Inflation Adjustment
151,76,2020-01-01,2021-12-31,0.0,268.0,2020 Launch Price
152,76,2022-01-01,2023-12-31,268.0,315.0,Global Inflation Adjustment
153,77,2020-01-01,2021-12-31,0.0,2306.0,2020 Launch Price
154,77,2022-01-01,2023-12-31,2306.0,2713.0,Global Inflation Adjustment
