batch_id,product_sk_id,warehouse_id,grn_date,mfg_date,expiry_date,quantity_on_hand,quantity_reserved,unit_cost_bdt
BAT-1000,1,3,2023-12-03,2023-11-03,2025-05-01,46,2,690.0
BAT-1001,1,3,2023-11-01,2023-10-02,2025-03-30,46,2,690.0
BAT-1002,1,3,2023-09-30,2023-08-31,2025-02-26,46,2,690.0
BAT-1003,1,4,2023-09-02,2023-08-03,2025-01-29,46,2,690.0
BAT-1004,1,1,2023-08-03,2023-07-04,2024-12-30,46,2,690.0
BAT-1005,1,5,2023-07-04,2023-06-04,2024-11-30,46,2,690.0
BAT-1006,2,5,2023-11-29,2023-10-30,2026-10-29,105,5,2042.25
BAT-1007,2,4,2023-11-03,2023-10-04,2026-10-03,105,5,2042.25
BAT-1008,2,5,2023-10-02,2023-09-02,2026-09-01,105,5,2042.25
BAT-1009,2,1,2023-09-04,2023-08-05,2026-08-04,105,5,2042.25
BAT-1010,2,4,2023-08-03,2023-07-04,2026-07-03,105,5,2042.25
BAT-1011,2,2,2023-07-02,2023-06-02,2026-06-01,105,5,2042.25
BAT-1012,3,2,2023-12-03,2023-11-03,2024-11-02,28,1,228.0
BAT-1013,3,3,2023-10-30,2023-09-30,2024-09-29,28,1,228.0
BAT-1014,3,2,2023-10-03,2023-09-03,2024-09-02,28,1,228.0
BAT-1015,3,3,2023-09-01,2023-08-02,2024-08-01,28,1,228.0
BAT-1016,3,5,2023-08-04,2023-07-05,2024-07-04,28,1,228.0
BAT-1017,3,2,2023-07-06,2023-06-06,2024-06-05,28,1,228.0
BAT-1018,4,1,2023-11-29,2023-10-30,2025-10-29,31,1,365.25
BAT-1019,4,1,2023-10-31,2023-10-01,2025-09-30,31,1,365.25
BAT-1020,4,5,2023-10-01,2023-09-01,2025-08-31,31,1,365.25
BAT-1021,4,4,2023-08-31,2023-08-01,2025-07-31,31,1,365.25
BAT-1022,4,5,2023-08-04,2023-07-05,2025-07-04,31,1,365.25
BAT-1023,4,2,2023-07-05,2023-06-05,2025-06-04,31,1,365.25
BAT-1024,5,5,2023-11-29,2023-10-30,2025-10-29,48,2,395.25
BAT-1025,5,2,2023-10-30,2023-09-30,2025-09-29,48,2,395.25
BAT-1026,5,5,2023-10-04,2023-09-04,2025-09-03,48,2,395.25
BAT-1027,5,2,2023-09-02,2023-08-03,2025-08-02,48,2,395.25
BAT-1028,5,1,2023-08-03,2023-07-04,2025-07-03,48,2,395.25
BAT-1029,5,3,2023-07-02,2023-06-02,2025-06-01,48,2,395.25
BAT-1030,6,3,2023-11-29,2023-10-30,2024-10-29,47,2,921.0
BAT-1031,6,3,2023-11-01,2023-10-02,2024-10-01,47,2,921.0
BAT-1032,6,4,2023-10-04,2023-09-04,2024-09-03,47,2,921.0
BAT-1033,6,5,2023-09-04,2023-08-05,2024-08-04,47,2,921.0
BAT-1034,6,3,2023-08-04,2023-07-05,2024-07-04,47,2,921.0
BAT-1035,6,3,2023-07-02,2023-06-02,2024-06-01,47,2,921.0
BAT-1036,7,5,2023-11-30,2023-10-31,2026-10-30,25,1,445.5
BAT-1037,7,1,2023-10-31,2023-10-01,2026-09-30,25,1,445.5
